module,area,slug_or_route,issue_type,severity,evidence,problem,suggested_fix,effort_hours,block_release
server-auth,expo-oauth,/api/auth/expo-authorization-proxy,security,P1,apps/server/src/auth/expo-plugin.ts:58|apps/server/src/auth/expo-plugin.ts:68|apps/server/src/lib/auth.ts:329,移动功能开启时端点可为任意外部 HTTPS authorization URL 种下签名 state cookie并造成登录 CSRF 会话替换；端点不签发会话 cookie也不能夺取受害者账号,改为服务端保存的一次性授权交接 ID,4,no
template-profiles,cron-contract,account-app|directory|full-saas,resolved,P1,template-kit/profiles/account-app/wrangler.server.example.jsonc:16|apps/server/src/worker/create-worker-handlers.ts:31,已修复：Jobs profile cron 与 worker 支持的每分钟表达式一致,无需进一步操作,1,no
web-backoffice,overview,/admin,broken,P1,apps/web/src/routes/_authed/(dashboard)/admin/index.tsx:34|apps/server/src/modules/control-read/read-models.ts:342,Webhook 事故数只统计最近十条记录,改为独立聚合查询全部未处理事故,2,no
web-backoffice,overview,/admin,broken,P1,apps/web/src/routes/_authed/(dashboard)/admin/index.tsx:25|apps/web/src/routes/_authed/(dashboard)/admin/index.tsx:34|apps/web/src/routes/_authed/(dashboard)/admin/index.tsx:40,后台计数请求失败时被显示为零,保留错误状态并显示不可用,1,no
web-backoffice,payments,/admin/payments|admin.retryPaymentOperation|admin.resolvePaymentOperationManualReview|admin.replayWebhook,unfinished,P1,apps/web/src/routes/_authed/(dashboard)/admin/payments.tsx:11|apps/server/src/routers/admin/billing.ts:89|apps/server/src/routers/admin/billing.ts:103|apps/server/src/routers/admin/billing.ts:208,支付恢复和 webhook 重放接口没有后台入口,在支付后台接入现有操作接口,4,no
web-backoffice,jobs,/admin/system|admin.listFailedJobs|admin.retryFailedJob|admin.ignoreFailedJob,unfinished,P1,apps/web/src/routes/_authed/(dashboard)/admin/system.tsx:98|apps/server/src/routers/admin/jobs.ts:87|apps/server/src/routers/admin/jobs.ts:104|apps/server/src/routers/admin/jobs.ts:124,失败任务查看和处置接口没有后台入口,在系统后台接入失败任务列表和处置操作,4,no
web-backoffice,tickets,tickets.create|tickets.reply|tickets.closeAdmin,broken,P1,apps/server/src/modules/tickets/router.ts:94|apps/server/src/modules/tickets/router.ts:123|apps/server/src/modules/tickets/router.ts:212,create、用户 reply 与 closeAdmin 的关联写入不是原子操作；replyAdmin 已在 c353fba 中改为 batch,将仍分步写入的关联记录各自放进同一数据库批次,2,no
web-backoffice,tickets,/tickets/$ticketId|/admin/support/$ticketId,broken,P1,apps/web/src/routes/_authed/(dashboard)/tickets/$ticketId.tsx:199|apps/web/src/routes/_authed/(dashboard)/admin/support/$ticketId.tsx:281,回复或关闭工单后相关查询未失效导致页面陈旧,操作成功后失效工单及列表查询,1,no
web-backoffice,ticket-author-label,/admin/support/$ticketId,broken,P1,apps/web/src/components/dashboard/tickets/ticket-pages.tsx:81|apps/web/src/components/dashboard/tickets/ticket-pages.tsx:85,管理员查看工单时共用线程把客户 user 消息标为 You，标签语境错误,向 TicketThread 传入查看者角色并按查看者角色生成作者标签,0.5,no
web-backoffice,users,/admin/users,broken,P1,apps/web/src/routes/_authed/(dashboard)/admin/users.tsx:7|apps/web/src/components/dashboard/users/use-users.ts:44,路由参数可传入无效分页值,在路由处校验并规范化分页参数,0.5,no
