"id","area","module_or_feature","slug_or_entry","status","type","priority","when","current_state","problem_or_risk","recommended_action","solo_company_simplification","security_consideration","performance_consideration","evidence","depends_on","acceptance_criteria"
"PROD-001","产品采用","产品身份","全局","未完成","产品决策","P0","开始做任何产品功能前","名称、站点、支持邮箱、发信域名、社交链接和 App Store 链接仍是模板或演示值","若维持当前状态，将无法证明：页面、邮件、结构化数据和运行时均不再出现 TanStack Template、demo.aiarticles.com 或占位链接","确定每个站点的产品清单，并一次性替换公开身份与域名","每个站点只维护一份 product-config 产品差异，不复制 resolver 和基础设施配置","错误的支持邮箱和域名会破坏账号找回与用户信任","统一身份可减少无效重定向、外部请求和重复配置","packages/app-config/src/product-config.ts; packages/app-config/src/public-runtime.ts","产品名称、主域名、支持邮箱、品牌资产","页面、邮件、结构化数据和运行时均不再出现 TanStack Template、demo.aiarticles.com 或占位链接"
"PROD-002","产品采用","收费模式与 Product Profile","PROFILE_BUILD_ID","已决定待采用","收费基线","P0","产品立项","已决定所有新下游必须有收费闭环；官方 Profile 能裁剪技术能力，但尚未表达这一商业决策，full-saas 又会同时带上 credits、storage 等并非每个收费站需要的能力","若下游只选技术 Profile 而不写商业闭环，仍可能上线没有明确收费、交付或退款路径的站点","每个下游先定义收费单元、价格、收款方式和交付方式；自动授予数字权益时用 billing+jobs，卖外链、赞助位或人工服务时可先用支付链接/账单加人工交付","商业上不再规划免费站；技术上也不强迫所有收费方式进入完整 SaaS 账单系统，先用最短可收款闭环","自动权益必须由验签 webhook 授予；人工交付必须有订单与审计记录，不能只靠聊天截图","只启用实际收款所需模块；简单外链销售无需 credits、storage 或多供应商状态机","packages/app-config/src/profile-definitions.ts; packages/app-config/src/public-runtime.ts; apps/server/src/payments","每个下游的收费单元和交付自动化程度","每个下游在 Stage 1 前写明卖什么、多少钱、如何收款、如何交付和如何退款，不存在无变现路线"
"PROD-003","产品采用","首个产品域模块接入","apps/server/src/modules; apps/web/src/modules","待下游决定","产品集成","P0","母模板验收后、首个下游功能前","moduleRouters 目前有意保持为空；Tickets 作为平台可选模块由 runtime router 条件挂载，注册机制呈现“产品域扩展点 + 平台例外”两类","把空扩展点误判为模板缺陷会诱导母模板提前内置虚构业务；若首个真实产品继续绕过扩展点，双轨边界会进一步漂移","母模板不实现任何下游域；首个真实下游模块进入 apps/server/src/modules/<domain> 与 apps/web/src/modules/<domain>，并通过 moduleRouters 注册，Tickets 保留为有文档的条件平台例外","一次只接入一个产生收入的核心域，不建通用插件系统、模块市场或中央控制面","新域必须使用标准 guards/capabilities，不能直接导入 Better Auth、暴露 D1 binding 或绕过验签支付权益","只注册实际启用的 namespace；列表和读模型从第一版就有界，不为未知下游预建缓存层","apps/server/src/modules/index.ts; apps/server/src/routers/runtime-router.ts; apps/server/src/modules/tickets/router.ts; apps/web/src/modules/README.md","首个下游的收费单元、数据所有者与核心用户动作","母模板保持无虚构产品模块；首个下游能从单一产品域入口完成核心动作，Tickets 例外有明确边界且没有第三种注册方式"
"PROD-005","产品采用","资源与部署身份","Worker、D1、R2、Queue、域名","未完成","部署配置","P0","首次预发布前","仓库仍依赖示例环境文件和待采用的 Cloudflare 资源身份","若维持当前状态，将无法证明：verify:production-config 能确认所有目标资源且没有占位值","为站点建立独立资源清单，并填充生产安全文件；不共享不同客户站点的 D1、R2 或 webhook secret","小站可不创建 R2、Queue 和 DLQ，前提是所选 Profile 不需要它们","生产预检必须核对精确资源 ID、域名、secret 与支付 live mode","少一个未用绑定就少一个冷启动和运维面，但不要移除收费所需 Queue","apps/server/wrangler.jsonc; apps/server/.production-safety.example; docs/production-configuration.md","Profile 与 Cloudflare 账号","verify:production-config 能确认所有目标资源且没有占位值"
"PROD-006","产品采用","模板与下游边界","template-kit/repository-facts.json","待抉择","维护策略","P1","第一次批量复制前","仓库既是母模板又承载具体站点采用规则，若直接复制核心易造成升级冲突","若维持当前状态，将无法证明：新站点能仅通过产品配置、域模块和内容完成采用，升级检查无未知核心修改","明确哪些文件属于上游 core、product-owned 和 generated，并保持 product diff 小而集中","单人维护只允许少数产品入口文件变化，不为每个站点 fork 基础设施","减少下游修改认证、支付和部署守卫，避免安全修复难以合并","边界稳定可减少每次升级的全仓扫描和冲突解决","GOVERNANCE.md; docs/architecture-boundaries.md; template-kit/repository-facts.json","站点采用流程","新站点能仅通过产品配置、域模块和内容完成采用，升级检查无未知核心修改"
"WEB-001","公开站点","首页","/","采用时必改","内容缺口","P0","公开上线前","v2.6 已将首页收缩为轻量静态 starter，但标题、说明、原则卡和 CTA 仍是母模板文案","若维持当前状态，将无法证明：首页不含模板文案，主 CTA 进入真实收费或核心产品闭环","围绕产品的收费单元重写定位、价值证据和主 CTA；只有真实需要时才增加 FAQ、案例或定价区","先保留一个收费 CTA 和一个产品证据区，不恢复通用大而全营销页","不要在公开文案、截图或示例数据中泄露内部域名与测试账号","保留当前静态无动画基础，新增区块必须服从 LCP、INP 和移动端可读性","apps/web/src/components/landing-page/static-landing-page.tsx; packages/i18n/src/messages","产品定位、收费单元和品牌","首页不含模板文案，主 CTA 进入真实收费或核心产品闭环"
"WEB-002","公开站点","SEO 默认元数据","/ 及全局","未完成","SEO","P0","公开上线前","默认标题和描述仍以 TanStack Template 与 SaaS Template 为主题","若维持当前状态，将无法证明：任一公开页面源码中不出现模板 SEO，canonical 与 locale alternates 正确","建立产品级 title template、description、canonical、OG 与社交账号配置","只有一个产品与域名时不要引入动态 SEO 配置后台，保留静态配置即可","canonical 必须只指向受控 HTTPS 域名，避免环境域名进入索引","静态元数据和预生成 OG 图优于请求时生成","apps/web/src/routes/__root.tsx; packages/i18n/src/messages; packages/app-config/src/product-config.ts","产品身份","任一公开页面源码中不出现模板 SEO，canonical 与 locale alternates 正确"
"WEB-003","公开站点","品牌资产","favicon、logo、OG image","未完成","品牌","P1","公开上线前","favicon、Logo 与分享图仍为模板资产或演示内容","若维持当前状态，将无法证明：浏览器图标、导航 Logo 和分享预览均为当前产品且体积受控","替换为每个站点的最小品牌资产集，并记录尺寸和来源","一人公司先维护 SVG Logo、favicon 和一张 1200×630 OG 图，不做复杂品牌资产流水线","清除图片元数据中的本地路径或作者隐私信息","压缩图片、设置尺寸，避免首屏 CLS；不要为 logo 引入额外图片库","apps/web/public; apps/web/src/routes/__root.tsx; apps/web/src/components","产品身份","浏览器图标、导航 Logo 和分享预览均为当前产品且体积受控"
"WEB-004","公开站点","隐私政策","/privacy","待抉择","法律与数据治理","P0","收集真实用户数据前","页面是通用模板文本，未必覆盖实际分析、支付、邮件与数据保留行为","若维持当前状态，将无法证明：政策与实际运行模块一致，具有有效日期和可用联系邮箱","按启用的供应商和真实数据流重写并由负责人确认生效日期与联系方式","不启用的分析、存储、社交登录和营销邮件不要写入政策；母模板首发不额外建设自助账号删除或数据导出中心","准确描述支付记录、日志、邮件订阅、数据保留、用户联系处理方式与跨境处理，不承诺尚未实现的自助能力","纯静态页面可预渲染并长期缓存","apps/web/src/routes/_public/(legal)/privacy.tsx; packages/i18n/src/messages","最终供应商、数据保留策略","政策与实际运行模块一致，具有有效日期和可用联系邮箱"
"WEB-005","公开站点","服务条款","/terms","待抉择","法律与商业","P0","开始收费前","页面为模板条款，无法覆盖具体退款、订阅、积分、终身授权或内容责任","若维持当前状态，将无法证明：条款准确描述唯一启用的商业模式，并与结账页一致","根据实际收费模型确定退款、取消、可接受使用、积分有效期与终身权益边界","不同时销售订阅、终身版和积分可显著降低条款与客服复杂度","明确账号终止、争议与用户内容处理；不可用前端文案代替支付供应商配置","静态预渲染即可","apps/web/src/routes/_public/(legal)/terms.tsx; packages/app-config/src/app-config.ts","定价与退款决策","条款准确描述唯一启用的商业模式，并与结账页一致"
